Left_Stim,Right_Stim,Correct_Response,phasesLoop.thisRepN,phasesLoop.thisTrialN,phasesLoop.thisN,phasesLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,postPracticeScreenLoop.thisRepN,postPracticeScreenLoop.thisTrialN,postPracticeScreenLoop.thisN,postPracticeScreenLoop.thisIndex,floorLine.started,Subject_Response.started,Subject_Response.keys,Subject_Response.corr,Subject_Response.rt,floorLineReveal.started,floorLineReveal.stopped,Participant,Experimenter,Condition,Number of pairs,Evaluate to criterion or fixed number of trials?,Training phase max blocks,Testing phase max blocks,date,expName,psychopyVersion,frameRate,
triangle,circle,,0,0,0,0,0,0,0,1,,,,,19.7827470000002,19.7827470000002,m,0,0.787614300000314,20.584182399999918,21.58392780000031,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
circle,triangle,,0,0,0,0,0,1,1,0,,,,,21.58392780000031,21.58392780000031,z,0,0.5053288999997676,22.09773640000003,23.09784480000053,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
triangle,circle,,0,0,0,0,1,0,2,1,,,,,23.09784480000053,23.09784480000053,z,1,0.9287844000000405,24.03527060000033,25.035273500000585,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
circle,triangle,,0,0,0,0,1,1,3,0,,,,,25.035273500000585,25.035273500000585,m,1,0.3186713000004602,25.36173729999973,26.361525000000256,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
circle,triangle,,0,0,0,0,2,0,4,0,,,,,26.361525000000256,26.361525000000256,m,1,0.6559701000005589,27.02821540000059,28.02812400000039,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s8c11,s9c11,left,1,0,1,0,0,0,0,6,,,,,28.68327700000009,28.68327700000009,m,0,2.5936391999994157,31.2853955999999,32.285555399999794,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s18c16,s18c15,right,1,0,1,0,0,1,1,9,,,,,32.285555399999794,32.285555399999794,m,1,1.5588449000006221,33.85498009999992,34.85504860000037,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s22c24,s23c24,left,1,0,1,0,0,2,2,14,,,,,34.85504860000037,34.85504860000037,z,1,0.42078069999934087,35.28553550000015,36.28651850000006,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s23c24,s22c24,right,1,0,1,0,0,3,3,15,,,,,36.28651850000006,36.28651850000006,m,1,0.5000657000000501,36.80001809999976,,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s24c22,s24c23,right,1,0,1,0,0,4,4,12,,,,,37.80658930000027,37.80658930000027,z,0,0.4225680999998076,38.23753620000025,,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
s1c3,s2c3,left,1,0,1,0,0,5,5,2,,,,,39.24390339999991,39.24390339999991,m,0,0.4101356000001033,39.66771599999993,40.667477200000576,jose,jose,C,8,criterion,6,6,2023-07-24_19h45.23.167,Choose34,2023.1.2,143.25436675192262,
