face,leftFish,rightFish,correctResponse,phase_used,round_no
woman,green,yellow,left,3,0
woman,yellow,blue,right,3,1
woman,green,purple,left,3,2
man,yellow,blue,left,3,3
boy,yellow,blue,left,3,4
girl,yellow,green,right,3,5
woman,purple,green,right,3,6
woman,blue,yellow,left,3,7
woman,purple,green,right,3,8
boy,green,yellow,right,3,9
boy,green,purple,right,3,10
man,green,purple,right,3,11
man,purple,green,left,3,12
woman,green,purple,left,3,13
boy,purple,green,left,3,14
boy,blue,purple,right,3,15
man,purple,blue,left,3,16
boy,green,purple,right,3,17
girl,green,yellow,left,3,18
man,purple,blue,left,3,19
man,blue,purple,right,3,20
boy,green,yellow,right,3,21
boy,green,purple,right,3,22
man,purple,blue,left,3,23
woman,yellow,green,right,3,24
girl,green,yellow,left,3,25
man,blue,purple,right,3,26
man,yellow,blue,left,3,27
man,blue,purple,right,3,28
man,green,yellow,right,3,29
girl,yellow,blue,right,3,30
man,green,yellow,right,3,31
woman,green,purple,left,3,32
girl,yellow,green,right,3,33
woman,yellow,blue,right,3,34
woman,blue,purple,left,3,35
girl,blue,yellow,left,3,36
boy,yellow,blue,left,3,37
man,yellow,green,left,3,38
woman,blue,purple,left,3,39
man,green,yellow,right,3,40
girl,green,yellow,left,3,41
girl,green,purple,left,3,42
man,yellow,blue,left,3,43
boy,yellow,blue,left,3,44
woman,purple,blue,right,3,45
woman,blue,yellow,left,3,46
man,yellow,green,left,3,47
